Year,Circuit,Winner
2014,Austin,Lewis Hamilton
2015,Austin,Lewis Hamilton
2016,Austin,Lewis Hamilton
2017,Austin,Lewis Hamilton
2018,Austin,Kimi Raikkonen
2019,Austin,Valtteri Bottas
2020,Austin,Not Held
2021,Austin,Max Verstappen
2022,Austin,Max Verstappen
2023,Austin,Max Verstappen
2014,Miami,Not Held
2015,Miami,Not Held
2016,Miami,Not Held
2017,Miami,Not Held
2018,Miami,Not Held
2019,Miami,Not Held
2020,Miami,Not Held
2021,Miami,Not Held
2022,Miami,Max Verstappen
2023,Miami,Max Verstappen
2014,Jeddah,Not Held
2015,Jeddah,Not Held
2016,Jeddah,Not Held
2017,Jeddah,Not Held
2018,Jeddah,Not Held
2019,Jeddah,Not Held
2020,Jeddah,Not Held
2021,Jeddah,Lewis Hamilton
2022,Jeddah,Max Verstappen
2023,Jeddah,Sergio Perez
2014,Singapore,Lewis Hamilton
2015,Singapore,Sebastian Vettel
2016,Singapore,Nico Rosberg
2017,Singapore,Lewis Hamilton
2018,Singapore,Lewis Hamilton
2019,Singapore,Sebastian Vettel
2020,Singapore,Not Held
2021,Singapore,Not Held
2022,Singapore,Sergio Perez
2023,Singapore,Carlos Sainz
